age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,blue-collar,married,Secondary,no,265.0,yes,no,unknown,5,may,541.0,1,-1.0,0,Unknow,no
53,housemaid,divorced,Primary,no,947.0,yes,no,unknown,5,may,163.0,1,-1.0,0,Unknow,no
34,Self-employed,single,Secondary,no,3.0,yes,no,unknown,5,may,301.0,1,-1.0,0,Unknow,no
57,unemployed,married,Tertiary,no,42.0,no,no,unknown,5,may,46.0,1,-1.0,0,Unknow,no
37,blue-collar,married,Secondary,no,37.0,yes,no,unknown,5,may,204.0,1,-1.0,0,Unknow,no
59,blue-collar,married,Secondary,no,57.0,yes,no,unknown,5,may,98.0,1,-1.0,0,Unknow,no
33,Services,married,Secondary,no,22.0,yes,no,unknown,5,may,71.0,1,-1.0,0,Unknow,no
56,blue-collar,divorced,Primary,no,8.0,yes,no,unknown,5,may,157.0,2,-1.0,0,Unknow,no
48,unemployed,married,Secondary,no,293.0,yes,no,unknown,5,may,243.0,1,-1.0,0,Unknow,no
43,Services,married,Primary,no,3.0,yes,no,unknown,5,may,186.0,2,-1.0,0,Unknow,no
54,blue-collar,married,Primary,no,348.0,yes,no,unknown,5,may,579.0,2,-1.0,0,Unknow,no
51,blue-collar,married,Unknown,no,-19.0,yes,no,unknown,5,may,163.0,2,-1.0,0,Unknow,no
26,student,single,Secondary,no,0.0,yes,no,unknown,5,may,610.0,2,-1.0,0,Unknow,no
40,Management,married,Tertiary,no,-4.0,yes,no,unknown,5,may,2033.0,1,-1.0,0,Unknow,no
39,Management,married,Secondary,no,18.0,yes,no,unknown,5,may,85.0,1,-1.0,0,Unknow,no
50,technician,married,Primary,no,139.0,no,no,unknown,5,may,114.0,2,-1.0,0,Unknow,no
41,Services,married,Secondary,no,0.0,yes,no,unknown,5,may,114.0,2,-1.0,0,Unknow,no
51,blue-collar,married,Unknown,no,1883.0,yes,no,unknown,5,may,57.0,1,-1.0,0,Unknow,no
60,Retired,divorced,Secondary,no,216.0,yes,no,unknown,5,may,238.0,1,-1.0,0,Unknow,no
52,blue-collar,married,Secondary,no,782.0,yes,no,unknown,5,may,93.0,3,-1.0,0,Unknow,no
48,blue-collar,married,Secondary,no,904.0,yes,no,unknown,5,may,128.0,2,-1.0,0,Unknow,no
48,Services,married,Unknown,no,1705.0,yes,no,unknown,5,may,107.0,1,-1.0,0,Unknow,no
39,technician,single,Tertiary,no,47.0,yes,no,unknown,5,may,181.0,1,-1.0,0,Unknow,no
47,Services,single,Secondary,no,176.0,yes,no,unknown,5,may,303.0,2,-1.0,0,Unknow,no
40,blue-collar,married,Secondary,no,1225.0,yes,no,unknown,5,may,558.0,5,-1.0,0,Unknow,no
45,technician,married,Secondary,no,86.0,yes,no,unknown,5,may,270.0,1,-1.0,0,Unknow,no
26,Administrative,single,Secondary,no,82.0,yes,no,unknown,5,may,228.0,1,-1.0,0,Unknow,no
52,Management,married,Tertiary,no,271.0,yes,no,unknown,5,may,99.0,1,-1.0,0,Unknow,no
54,technician,married,Secondary,no,1378.0,yes,no,unknown,5,may,240.0,1,-1.0,0,Unknow,no
54,Administrative,married,Tertiary,no,184.0,no,no,unknown,5,may,673.0,2,-1.0,0,Unknow,yes
50,blue-collar,married,Primary,no,0.0,no,no,unknown,5,may,233.0,3,-1.0,0,Unknow,no
35,blue-collar,married,Secondary,no,0.0,yes,no,unknown,5,may,1056.0,1,-1.0,0,Unknow,no
44,Services,married,Secondary,no,1357.0,yes,yes,unknown,5,may,250.0,1,-1.0,0,Unknow,no
53,entrepreneur,married,Unknown,no,19.0,yes,no,unknown,5,may,252.0,1,-1.0,0,Unknow,no
35,Retired,single,Primary,no,434.0,no,no,unknown,5,may,138.0,1,-1.0,0,Unknow,no
60,Administrative,divorced,Secondary,no,92.0,yes,no,unknown,5,may,130.0,1,-1.0,0,Unknow,no
53,Administrative,divorced,Secondary,no,1151.0,yes,no,unknown,5,may,412.0,1,-1.0,0,Unknow,no
48,unemployed,married,Secondary,no,41.0,yes,no,unknown,5,may,179.0,2,-1.0,0,Unknow,no
34,technician,married,Secondary,no,51.0,yes,no,unknown,5,may,19.0,2,-1.0,0,Unknow,no
54,Services,married,Secondary,no,214.0,yes,no,unknown,5,may,458.0,2,-1.0,0,Unknow,no
51,Management,married,Secondary,no,1161.0,yes,no,unknown,5,may,717.0,1,-1.0,0,Unknow,no
31,Services,married,Tertiary,no,37.0,yes,no,unknown,5,may,313.0,1,-1.0,0,Unknow,no
35,technician,divorced,Secondary,no,787.0,yes,no,unknown,5,may,683.0,2,-1.0,0,Unknow,no
35,Services,married,Secondary,no,59.0,yes,no,unknown,5,may,1077.0,1,-1.0,0,Unknow,no
38,technician,married,Secondary,no,253.0,yes,no,unknown,5,may,416.0,1,-1.0,0,Unknow,no
36,Administrative,married,Tertiary,no,211.0,yes,no,unknown,5,may,146.0,2,-1.0,0,Unknow,no
58,Retired,married,Primary,no,235.0,yes,no,unknown,5,may,167.0,1,-1.0,0,Unknow,no
40,Services,divorced,Unknown,no,4384.0,yes,no,unknown,5,may,315.0,1,-1.0,0,Unknow,no
54,Management,married,Secondary,no,4080.0,no,no,unknown,5,may,140.0,1,-1.0,0,Unknow,no
34,blue-collar,single,Secondary,no,53.0,yes,yes,unknown,5,may,346.0,1,-1.0,0,Unknow,no
31,Management,single,Tertiary,no,0.0,yes,no,unknown,5,may,562.0,1,-1.0,0,Unknow,no
51,Retired,married,Secondary,no,2127.0,yes,no,unknown,5,may,172.0,1,-1.0,0,Unknow,no
33,Management,married,Tertiary,no,377.0,yes,no,unknown,5,may,217.0,1,-1.0,0,Unknow,no
55,Management,married,Tertiary,no,73.0,yes,no,unknown,5,may,142.0,2,-1.0,0,Unknow,no
42,Administrative,married,Secondary,no,445.0,yes,no,unknown,5,may,67.0,1,-1.0,0,Unknow,no
34,blue-collar,married,Secondary,no,243.0,yes,no,unknown,5,may,291.0,1,-1.0,0,Unknow,no
33,blue-collar,single,Secondary,no,307.0,yes,no,unknown,5,may,309.0,2,-1.0,0,Unknow,no
38,Services,married,Secondary,no,155.0,yes,no,unknown,5,may,248.0,1,-1.0,0,Unknow,no
50,technician,divorced,Tertiary,no,173.0,no,yes,unknown,5,may,98.0,1,-1.0,0,Unknow,no
43,Management,married,Tertiary,no,400.0,yes,no,unknown,5,may,256.0,1,-1.0,0,Unknow,no
61,blue-collar,divorced,Primary,no,1428.0,yes,no,unknown,5,may,82.0,2,-1.0,0,Unknow,no
47,Administrative,married,Secondary,no,219.0,yes,no,unknown,5,may,577.0,1,-1.0,0,Unknow,no
48,Self-employed,married,Tertiary,no,7.0,yes,no,unknown,5,may,286.0,1,-1.0,0,Unknow,no
44,blue-collar,married,Secondary,no,575.0,yes,no,unknown,5,may,477.0,1,-1.0,0,Unknow,no
35,student,single,Unknown,no,298.0,yes,no,unknown,5,may,611.0,2,-1.0,0,Unknow,no
35,Services,married,Secondary,no,0.0,yes,no,unknown,5,may,471.0,1,-1.0,0,Unknow,no
50,Services,married,Secondary,no,5699.0,yes,no,unknown,5,may,381.0,2,-1.0,0,Unknow,no
41,Management,married,Tertiary,no,176.0,yes,yes,unknown,5,may,42.0,1,-1.0,0,Unknow,no
41,Management,married,Tertiary,no,517.0,yes,no,unknown,5,may,251.0,1,-1.0,0,Unknow,no
39,Services,single,Unknown,no,257.0,yes,no,unknown,5,may,408.0,1,-1.0,0,Unknow,no
42,Retired,married,Secondary,no,56.0,yes,no,unknown,5,may,215.0,1,-1.0,0,Unknow,no
38,blue-collar,married,Secondary,no,-390.0,yes,no,unknown,5,may,287.0,1,-1.0,0,Unknow,no
53,Retired,married,Secondary,no,330.0,yes,no,unknown,5,may,216.0,2,-1.0,0,Unknow,no
59,housemaid,divorced,Primary,no,195.0,no,no,unknown,5,may,366.0,2,-1.0,0,Unknow,no
36,Services,married,Secondary,no,301.0,yes,no,unknown,5,may,210.0,1,-1.0,0,Unknow,no
54,blue-collar,married,Primary,no,-41.0,yes,no,unknown,5,may,288.0,1,-1.0,0,Unknow,no
40,technician,married,Tertiary,no,483.0,yes,no,unknown,5,may,168.0,1,-1.0,0,Unknow,no
47,unknown,married,Unknown,no,28.0,no,no,unknown,5,may,338.0,2,-1.0,0,Unknow,no
53,unemployed,married,Unknown,no,13.0,no,no,unknown,5,may,410.0,3,-1.0,0,Unknow,no
46,housemaid,married,Primary,no,965.0,no,no,unknown,5,may,177.0,1,-1.0,0,Unknow,no
39,Management,married,Tertiary,no,378.0,yes,yes,unknown,5,may,127.0,2,-1.0,0,Unknow,no
40,unemployed,married,Secondary,no,219.0,yes,no,unknown,5,may,357.0,1,-1.0,0,Unknow,no
28,blue-collar,married,Primary,no,324.0,yes,no,unknown,5,may,175.0,1,-1.0,0,Unknow,no
35,entrepreneur,divorced,Secondary,no,-69.0,yes,no,unknown,5,may,300.0,1,-1.0,0,Unknow,no
55,Retired,married,Secondary,no,0.0,no,yes,unknown,5,may,136.0,1,-1.0,0,Unknow,no
43,technician,divorced,Unknown,no,205.0,yes,no,unknown,5,may,1419.0,1,-1.0,0,Unknow,no
48,blue-collar,married,Primary,no,278.0,yes,no,unknown,5,may,125.0,2,-1.0,0,Unknow,no
58,Management,married,Unknown,no,1065.0,yes,no,unknown,5,may,213.0,3,-1.0,0,Unknow,no
33,Management,single,Tertiary,no,34.0,yes,no,unknown,5,may,27.0,1,-1.0,0,Unknow,no
36,blue-collar,married,Unknown,no,1033.0,no,no,unknown,5,may,238.0,2,-1.0,0,Unknow,no
47,blue-collar,married,Primary,no,-12.0,yes,no,unknown,5,may,18.0,1,-1.0,0,Unknow,no
31,Services,married,Secondary,no,388.0,yes,no,unknown,5,may,730.0,2,-1.0,0,Unknow,no
57,entrepreneur,married,Secondary,no,294.0,yes,no,unknown,5,may,746.0,2,-1.0,0,Unknow,no
53,blue-collar,married,Unknown,no,1827.0,no,no,unknown,5,may,121.0,1,-1.0,0,Unknow,no
55,blue-collar,married,Primary,no,627.0,yes,no,unknown,5,may,247.0,1,-1.0,0,Unknow,no
45,blue-collar,married,Primary,no,25.0,yes,no,unknown,5,may,40.0,1,-1.0,0,Unknow,no
53,Administrative,divorced,Secondary,no,315.0,yes,no,unknown,5,may,181.0,2,-1.0,0,Unknow,no
37,blue-collar,married,Primary,no,0.0,yes,no,unknown,5,may,79.0,1,-1.0,0,Unknow,no
44,Administrative,divorced,Secondary,no,66.0,yes,no,unknown,5,may,206.0,1,-1.0,0,Unknow,no
49,blue-collar,divorced,Primary,no,-9.0,yes,yes,unknown,5,may,389.0,1,-1.0,0,Unknow,no
46,technician,married,Secondary,no,349.0,yes,yes,unknown,5,may,127.0,1,-1.0,0,Unknow,no
43,entrepreneur,married,Unknown,no,100.0,yes,no,unknown,5,may,702.0,1,-1.0,0,Unknow,no
38,Administrative,married,Secondary,no,0.0,no,no,unknown,5,may,151.0,1,-1.0,0,Unknow,no
43,technician,married,Secondary,no,434.0,yes,no,unknown,5,may,117.0,1,-1.0,0,Unknow,no
49,Management,married,Tertiary,no,3237.0,yes,no,unknown,5,may,232.0,3,-1.0,0,Unknow,no
42,Management,married,Unknown,no,275.0,no,no,unknown,5,may,408.0,2,-1.0,0,Unknow,no
22,blue-collar,single,Secondary,no,0.0,yes,no,unknown,5,may,179.0,2,-1.0,0,Unknow,no
40,Management,married,Tertiary,no,207.0,yes,no,unknown,5,may,39.0,1,-1.0,0,Unknow,no
39,blue-collar,married,Secondary,no,483.0,yes,no,unknown,5,may,282.0,1,-1.0,0,Unknow,no
51,Services,married,Secondary,no,2248.0,yes,no,unknown,5,may,714.0,2,-1.0,0,Unknow,no
49,Administrative,married,Secondary,no,428.0,yes,no,unknown,5,may,50.0,1,-1.0,0,Unknow,no
53,blue-collar,married,Secondary,no,0.0,yes,yes,unknown,5,may,181.0,1,-1.0,0,Unknow,no
34,Services,single,Secondary,no,0.0,yes,no,unknown,5,may,142.0,1,-1.0,0,Unknow,no
33,technician,divorced,Secondary,no,140.0,yes,no,unknown,5,may,227.0,1,-1.0,0,Unknow,no
50,Management,single,Tertiary,no,297.0,yes,no,unknown,5,may,119.0,1,-1.0,0,Unknow,no
39,blue-collar,married,Primary,no,279.0,yes,no,unknown,5,may,361.0,1,-1.0,0,Unknow,no
59,entrepreneur,divorced,Secondary,no,901.0,yes,no,unknown,5,may,73.0,3,-1.0,0,Unknow,no
30,technician,single,Secondary,no,2573.0,yes,no,unknown,5,may,67.0,2,-1.0,0,Unknow,no
36,Services,married,Secondary,no,143.0,yes,yes,unknown,5,may,350.0,1,-1.0,0,Unknow,no
40,blue-collar,married,Secondary,no,475.0,yes,no,unknown,5,may,332.0,2,-1.0,0,Unknow,no
53,blue-collar,married,Secondary,no,70.0,yes,no,unknown,5,may,611.0,2,-1.0,0,Unknow,no
34,Management,single,Tertiary,no,318.0,yes,no,unknown,5,may,113.0,2,-1.0,0,Unknow,no
37,technician,married,Secondary,no,275.0,yes,no,unknown,5,may,132.0,1,-1.0,0,Unknow,no
42,Management,divorced,Tertiary,no,742.0,yes,no,unknown,5,may,58.0,3,-1.0,0,Unknow,no
41,entrepreneur,married,Primary,no,236.0,yes,no,unknown,5,may,151.0,1,-1.0,0,Unknow,no
